POINT_X,POINT_Y,Z
483408.755,2821080.903,20
483381.7543,2821094.641,20
483362.6621,2821105.765,20
483340.7842,2821119.589,20
483317.3616,2821135.573,20
483293.6218,2821153.148,20
483272.4243,2821170.295,20
483252.8322,2821187.674,20
483235.6638,2821204.635,20
483221.6291,2821220.602,20
483209.2726,2821236.695,20
483197.7979,2821253.828,20
483187.3332,2821271.608,20
483177.791,2821289.919,20
483169.1707,2821308.698,20
483161.5545,2821327.925,20
483154.598,2821348.971,20
483148.6264,2821370.4,20
483138.7403,2821413.999,20
483130.8808,2821458.187,20
483125.0586,2821502.299,20
483121.0165,2821546.191,20
483117.2888,2821612.181,20
483116.7423,2821656.175,20
483118.4859,2821700.74,20
483121.9199,2821745.239,20
483126.5951,2821789.634,20
483132.6788,2821833.833,20
483140.7643,2821878.244,20
483146.0797,2821902.091,20
483152.9539,2821928.782,20
483161.0962,2821957.028,20
483170.2131,2821985.543,20
483179.9859,2822013.046,20
483188.6411,2822035.102,20
483204.3571,2822071.262,20
483215.7729,2822094.878,20
483435.5892,2820305.635,17
483378.4345,2820316.058,17
483338.4241,2820322.341,17
483303.0281,2820333.256,17
483240.8509,2820361.038,17
483146.9236,2820415.277,17
483042.413,2820506.559,17
482919.3815,2820650.757,17
482824.1313,2820787.018,17
482716.9748,2820927.247,17
482653.4747,2821022.497,17
482611.1413,2821101.873,17
482580.7141,2821187.862,17
482554.2557,2821281.79,17
482545.9084,2821370.844,17
482466.1554,2821683.812,17
482478.8493,2821750.103,17
482489.4327,2821836.093,17
482492.6244,2821919.285,17
482489.4532,2822016.763,17
482511.9223,2822100.677,17
482540.0409,2822190.025,17
482964.3123,2822145.394,19
482923.6809,2822083.545,19
482889.285,2822017.399,19
482856.2121,2821920.826,19
482846.9516,2821862.617,19
482841.6599,2821796.471,19
482844.3058,2821719.742,19
482849.5975,2821669.471,19
482869.4413,2821611.263,19
482903.8372,2821523.95,19
482950.1393,2821440.606,19
482989.8269,2821378.429,19
483007.0249,2821333.45,19
483033.4832,2821279.21,19
483069.2021,2821224.97,19
483136.671,2821142.949,19
483202.8169,2821074.157,19
483291.4525,2821002.72,19
483369.5048,2820949.803,19
483415.4419,2820923.385,19
483422.4735,2820757.746,18
483377,2820769.3,18
483331.4047,2820787.084,18
483267.9046,2820826.771,18
483207.7117,2820876.381,18
483066.1594,2821000.074,18
482981.4925,2821091.355,18
482935.8518,2821158.824,18
482902.1174,2821219.017,18
482880.2892,2821272.595,18
482866,2821318.7,18
482850.5235,2821379.752,18
482824.0651,2821467.726,18
482790.3307,2821569.591,18
482750.6431,2821678.732,18
482727.492,2821756.784,18
482715.5857,2821817.638,18
482705.6638,2821930.086,18
482705.6638,2822047.826,18
482720.216,2822152.337,18
482740.5646,2822218.912,18
