POINT_X,POINT_Y,Z
483432.344,2820213.516,50
483350.0982,2820231.022,50
483286.5981,2820252.189,50
483216.4834,2820287.908,50
483155.6291,2820340.824,50
483089.4831,2820410.939,50
482979.6147,2820546.472,50
482844.6769,2820717.129,50
482741.4892,2820867.942,50
482654.1765,2821038.598,50
482614.489,2821244.974,50
482614.489,2821423.568,50
482650.2078,2821669.631,50
482721.6454,2821987.131,50
482787.9917,2822200.031,50
483411.753,2821010.281,20
483356.4908,2821035.672,20
483291.9324,2821073.772,20
483215.7322,2821141.505,20
483153.2904,2821222.997,20
483114.132,2821294.964,20
483103.5487,2821342.589,20
483081.3236,2821442.072,20
483074.9736,2821620.931,20
483089.7903,2821697.131,20
483123.657,2821783.915,20
483156.4654,2821848.473,20
483198.7989,2821888.69,20
483245.1686,2821907.481,20
483416.5028,2820898.393,30
483345.7907,2820905.675,30
483270.6489,2820926.841,30
483202.9154,2820966,30
483142.5903,2821006.217,30
483063.2151,2821083.475,30
482990.19,2821195.658,30
482943.6232,2821298.317,30
482920.3398,2821412.617,30
482908.6982,2821581.951,30
482930.9232,2821697.31,30
482971.1399,2821811.61,30
483009.24,2821888.868,30
483093.9069,2821989.41,30
483158.4653,2822048.677,30
483217.3588,2822084.768,30
483422.8006,2820750.041,40
483419.4776,2820828.318,40
483189.3787,2820815.895,40
482994.2481,2820878.733,40
482845.4197,2821027.562,40
482775.9664,2821199.541,40
482759.4299,2821364.906,40
482769.3518,2821530.271,40
482802.4248,2821751.86,40
482835.4978,2821890.766,40
482881.8,2822023.058,40
482930.948,2822148.338,40
